pwm,time
1100,0
1101,0.5
1102,1.0
1103,1.5
1104,2.0
1105,2.5
1106,3.0
1107,3.5
1108,4.0
1109,4.5
1110,5.0
1111,5.5
1112,6.0
1113,6.5
1114,7.0
1115,7.5
1116,8.0
1117,8.5
1118,9.0
1119,9.5
1120,10.0
1121,10.5
1122,11.0
1123,11.5
1124,12.0
1125,12.5
1126,13.0
1127,13.5
1128,14.0
1129,14.5
1130,15.0
1131,15.5
1132,16.0
1133,16.5
1134,17.0
1135,17.5
1136,18.0
1137,18.5
1138,19.0
1139,19.5
1140,20.0
1141,20.5
1142,21.0
1143,21.5
1144,22.0
1145,22.5
1146,23.0
1147,23.5
1148,24.0
1149,24.5
1150,25.0
1151,25.5
1152,26.0
1153,26.5
1154,27.0
1155,27.5
1156,28.0
1157,28.5
1158,29.0
1159,29.5
1160,30.0
1161,30.5
1162,31.0
1163,31.5
1164,32.0
1165,32.5
1166,33.0
1167,33.5
1168,34.0
1169,34.5
1170,35.0
1171,35.5
1172,36.0
1173,36.5
1174,37.0
1175,37.5
1176,38.0
1177,38.5
1178,39.0
1179,39.5
1180,40.0
1181,40.5
1182,41.0
1183,41.5
1184,42.0
1185,42.5
1186,43.0
1187,43.5
1188,44.0
1189,44.5
1190,45.0
1191,45.5
1192,46.0
1193,46.5
1194,47.0
1195,47.5
1196,48.0
1197,48.5
1198,49.0
1199,49.5
1200,50.0
1201,50.5
1202,51.0
1203,51.5
1204,52.0
1205,52.5
1206,53.0
1207,53.5
1208,54.0
1209,54.5
1210,55.0
1211,55.5
1212,56.0
1213,56.5
1214,57.0
1215,57.5
1216,58.0
1217,58.5
1218,59.0
1219,59.5
1220,60.0
1221,60.5
1222,61.0
1223,61.5
1224,62.0
1225,62.5
1226,63.0
1227,63.5
1228,64.0
1229,64.5
1230,65.0
1231,65.5
1232,66.0
1233,66.5
1234,67.0
1235,67.5
1236,68.0
1237,68.5
1238,69.0
1239,69.5
1240,70.0
1241,70.5
1242,71.0
1243,71.5
1244,72.0
1245,72.5
1246,73.0
1247,73.5
1248,74.0
1249,74.5
1250,75.0
1251,75.5
1252,76.0
1253,76.5
1254,77.0
1255,77.5
1256,78.0
1257,78.5
1258,79.0
1259,79.5
1260,80.0
1261,80.5
1262,81.0
1263,81.5
1264,82.0
1265,82.5
1266,83.0
1267,83.5
1268,84.0
1269,84.5
1270,85.0
1271,85.5
1272,86.0
1273,86.5
1274,87.0
1275,87.5
1276,88.0
1277,88.5
1278,89.0
1279,89.5
1280,90.0
1281,90.5
1282,91.0
1283,91.5
1284,92.0
1285,92.5
1286,93.0
1287,93.5
1288,94.0
1289,94.5
1290,95.0
1291,95.5
1292,96.0
1293,96.5
1294,97.0
1295,97.5
1296,98.0
1297,98.5
1298,99.0
1299,99.5
1300,100.0
1301,100.5
1302,101.0
1303,101.5
1304,102.0
1305,102.5
1306,103.0
1307,103.5
1308,104.0
1309,104.5
1310,105.0
1311,105.5
1312,106.0
1313,106.5
1314,107.0
1315,107.5
1316,108.0
1317,108.5
1318,109.0
1319,109.5
1320,110.0
1321,110.5
1322,111.0
1323,111.5
1324,112.0
1325,112.5
1326,113.0
1327,113.5
1328,114.0
1329,114.5
1330,115.0
1331,115.5
1332,116.0
1333,116.5
1334,117.0
1335,117.5
1336,118.0
1337,118.5
1338,119.0
1339,119.5
1340,120.0
1341,120.5
1342,121.0
1343,121.5
1344,122.0
1345,122.5
1346,123.0
1347,123.5
1348,124.0
1349,124.5
1350,125.0
1351,125.5
1352,126.0
1353,126.5
1354,127.0
1355,127.5
1356,128.0
1357,128.5
1358,129.0
1359,129.5
1360,130.0
1361,130.5
1362,131.0
1363,131.5
1364,132.0
1365,132.5
1366,133.0
1367,133.5
1368,134.0
1369,134.5
1370,135.0
1371,135.5
1372,136.0
1373,136.5
1374,137.0
1375,137.5
1376,138.0
1377,138.5
1378,139.0
1379,139.5
1380,140.0
1381,140.5
1382,141.0
1383,141.5
1384,142.0
1385,142.5
1386,143.0
1387,143.5
1388,144.0
1389,144.5
1390,145.0
1391,145.5
1392,146.0
1393,146.5
1394,147.0
1395,147.5
1396,148.0
1397,148.5
1398,149.0
1399,149.5
1400,150.0
1401,150.5
1402,151.0
1403,151.5
1404,152.0
1405,152.5
1406,153.0
1407,153.5
1408,154.0
1409,154.5
1410,155.0
1411,155.5
1412,156.0
1413,156.5
1414,157.0
1415,157.5
1416,158.0
1417,158.5
1418,159.0
1419,159.5
1420,160.0
1421,160.5
1422,161.0
1423,161.5
1424,162.0
1425,162.5
1426,163.0
1427,163.5
1428,164.0
1429,164.5
1430,165.0
1431,165.5
1432,166.0
1433,166.5
1434,167.0
1435,167.5
1436,168.0
1437,168.5
1438,169.0
1439,169.5
1440,170.0
1441,170.5
1442,171.0
1443,171.5
1444,172.0
1445,172.5
1446,173.0
1447,173.5
1448,174.0
1449,174.5
1450,175.0
1451,175.5
1452,176.0
1453,176.5
1454,177.0
1455,177.5
1456,178.0
1457,178.5
1458,179.0
1459,179.5
1460,180.0
1461,180.5
1462,181.0
1463,181.5
1464,182.0
1465,182.5
1466,183.0
1467,183.5
